title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Jalón al Pecho (Máquina),,,0,normal,110.0,,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Jalón al Pecho (Máquina),,,1,normal,,12.0,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,,,,2,normal,110.0,10.0,,,
,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Jalón al Pecho (Máquina),,,3,normal,100.0,10.0,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Remo Inclinado (Barra),,,0,normal,80.0,,,,
Espalda,,"5 feb 2025, 10:36",,Remo Inclinado (Barra),,,1,normal,80.0,7.0,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Remo Inclinado (Barra),,,2,normal,80.0,,,,
,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Remo Inclinado (Barra),,,3,normal,80.0,7.0,,,
,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Remo con Mancuerna,,,0,normal,36.0,9.0,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Remo con Mancuerna,,,1,normal,36.0,,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Remo con Mancuerna,,,2,normal,36.0,,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Remo Sentado con Cable,,,0,normal,45.0,,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,,,,1,normal,45.0,10.0,,,
Espalda,,"5 feb 2025, 10:36",,Remo Sentado con Cable,,,2,normal,45.0,10.0,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,,,,3,normal,45.0,10.0,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Straight Arm Lat Pulldown (Cable),,,0,normal,25.0,,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Straight Arm Lat Pulldown (Cable),,,1,normal,25.0,,,,
Espalda,"5 feb 2025, 09:30","5 feb 2025, 10:36",,,,,2,normal,25.0,8.0,,,
,"5 feb 2025, 09:30","5 feb 2025, 10:36",,Straight Arm Lat Pulldown (Cable),,,3,normal,25.0,8.0,,,
Pectoral,"4 feb 2025, 10:39","4 feb 2025, 12:03",,,,,0,normal,50.0,12.0,,,
Pectoral,"4 feb 2025, 10:39","4 feb 2025, 12:03",,Aperturas (Máquina),,,1,normal,50.0,,,,
,"4 feb 2025, 10:39","4 feb 2025, 12:03",,Aperturas (Máquina),,,2,normal,50.0,12.0,,,
Pectoral,"4 feb 2025, 10:39","4 feb 2025, 12:03",,Aperturas (Máquina),,,3,normal,50.0,,,,
Pectoral,,"4 feb 2025, 12:03",,Press de Banca Inclinado (Mancuerna),,,0,normal,26.0,9.0,,,
